∆⁄ ˝,∫Ï«Ú_1,∫Ï«Ú_2,∫Ï«Ú_3,∫Ï«Ú_4,∫Ï«Ú_5,∫Ï«Ú_6,¿∂«Ú
20031,2,5,9,15,16,27,9
20030,17,18,21,29,30,32,3
20029,1,12,18,20,30,32,5
20028,5,6,15,18,26,32,8
20027,12,13,14,24,25,28,6
20026,1,4,9,18,19,31,6
20025,1,9,10,15,20,29,2
20024,10,13,27,28,29,31,8
20023,4,5,20,21,30,33,8
20022,2,10,20,22,25,30,2
20021,2,6,14,16,27,31,7
20020,1,6,9,13,15,22,14
20019,15,19,27,28,30,33,3
20018,5,7,8,11,17,22,13
20017,2,4,7,15,20,27,4
20016,5,6,8,17,24,27,7
20015,8,9,22,24,30,33,1
20014,2,7,8,10,12,16,7
20013,2,8,10,20,21,30,14
20012,4,13,14,23,26,31,9
20011,4,5,7,17,18,29,1
20010,11,14,22,27,31,32,9
20009,3,6,8,14,19,26,12
20008,1,4,6,10,11,28,16
20007,5,12,17,20,25,31,10
20006,3,4,5,10,16,32,9
20005,11,16,17,22,26,32,4
20004,2,15,17,27,32,33,3
20003,9,17,26,29,30,32,3
20002,4,9,14,15,16,29,11
20001,2,15,23,26,29,30,2
19151,2,6,9,18,24,26,14
19150,2,9,14,22,27,29,2
19149,1,6,27,28,31,33,7
19148,9,10,13,20,26,27,8
19147,1,9,12,14,23,27,12
19146,1,4,10,12,30,32,14
19145,1,8,13,17,18,19,16
19144,2,12,15,19,27,30,3
19143,5,13,15,16,26,32,9
19142,8,14,24,27,29,33,9
19141,10,13,14,15,17,33,14
19140,2,4,9,11,14,22,5
19139,8,14,20,23,30,33,11
19138,2,6,12,30,31,32,11
19137,7,10,13,19,23,31,6
19136,12,14,15,17,29,33,12
19135,3,6,10,11,27,33,3
19134,1,4,6,22,29,30,3
19133,3,7,16,21,24,31,7
19132,4,6,11,14,19,33,7
19131,9,17,19,20,24,31,4
19130,1,7,9,11,24,32,16
19129,3,4,7,9,15,26,7
19128,3,8,12,16,17,19,8
19127,2,6,7,12,17,24,10
19126,2,14,17,29,32,33,16
19125,2,11,12,26,27,29,3
19124,4,9,30,31,32,33,1
19123,2,6,8,17,28,30,6
19122,4,10,15,19,21,23,2
19121,2,6,15,21,30,31,2
19120,10,12,27,31,32,33,3
19119,4,20,22,24,26,33,7
19118,12,14,15,25,28,31,4
19117,3,5,11,28,32,33,1
19116,1,8,9,13,16,33,1
19115,4,10,11,14,15,29,5
19114,2,4,9,11,12,30,1
19113,1,5,19,21,25,33,15
19112,3,12,14,17,23,27,1
19111,7,18,20,22,24,33,1
19110,1,18,22,26,27,28,8
19109,3,6,7,17,28,31,10
19108,7,13,19,22,25,32,13
19107,2,6,8,23,27,32,2
19106,2,14,22,27,30,33,14
19105,2,13,15,17,26,33,1
19104,1,5,16,17,18,24,10
19103,4,12,14,21,27,29,12
19102,3,8,12,16,20,32,12
19101,1,4,9,21,31,33,5
19100,1,4,12,13,30,32,8
19099,7,14,22,23,27,30,8
19098,3,11,12,14,17,26,9
19097,3,5,18,24,25,31,9
19096,5,7,12,18,27,32,11
19095,2,5,14,19,21,28,1
19094,5,10,12,18,19,27,6
19093,5,7,8,9,20,22,2
19092,9,17,27,28,32,33,8
19091,7,10,21,24,29,32,11
19090,2,3,6,8,14,22,4
19089,2,4,14,16,20,22,11
19088,13,14,15,21,23,29,13
19087,4,5,7,9,21,30,4
19086,16,22,24,26,28,31,6
19085,1,4,14,18,24,29,4
19084,4,8,14,18,20,27,3
19083,6,15,17,26,28,31,3
19082,7,16,19,22,24,28,2
19081,5,24,27,29,31,32,10
19080,3,6,8,20,24,32,7
19079,1,3,6,9,19,31,16
19078,1,17,27,29,31,33,12
19077,9,11,13,18,21,22,15
19076,12,15,19,20,29,32,14
19075,5,8,20,22,31,33,3
19074,12,21,27,29,31,33,4
19073,1,2,6,12,16,18,8
19072,2,9,13,15,22,30,15
19071,1,8,19,24,29,30,4
19070,6,15,18,19,24,32,9
19069,6,11,16,19,21,25,1
19068,3,14,20,24,26,33,10
19067,4,6,8,11,30,33,11
19066,1,14,17,20,22,32,4
19065,6,9,11,15,20,26,10
19064,12,20,24,25,30,33,12
19063,1,14,19,22,29,31,16
19062,7,13,16,23,26,30,1
19061,3,17,19,24,27,31,12
19060,3,4,14,20,23,27,1
19059,4,5,7,9,16,18,6
19058,7,8,12,21,23,27,12
19057,4,5,6,8,13,18,16
19056,13,14,17,19,21,29,1
19055,1,6,11,15,19,31,10
19054,7,10,11,15,24,26,11
19053,4,16,22,25,29,31,8
19052,3,6,9,13,16,19,16
19051,8,9,10,13,15,28,9
19050,4,6,10,11,21,23,2
19049,3,10,13,22,23,28,15
19048,3,7,10,12,18,29,10
19047,3,11,18,25,30,33,14
19046,2,12,16,22,25,32,6
19045,1,6,17,19,27,31,14
19044,6,14,16,17,23,29,7
19043,1,6,12,13,24,32,13
19042,15,17,19,22,25,26,4
19041,2,9,13,23,24,26,16
19040,5,6,9,18,23,31,11
19039,6,7,11,14,27,32,8
19038,9,12,21,27,29,30,5
19037,1,7,12,14,18,25,10
19036,2,10,13,16,23,32,8
19035,1,5,7,9,10,20,16
19034,9,11,15,22,24,26,3
19033,9,15,19,21,23,29,15
19032,4,8,9,13,28,33,4
19031,3,13,15,18,21,33,16
19030,4,5,7,10,12,22,16
19029,8,11,17,23,32,33,10
19028,4,19,22,26,29,30,11
19027,2,6,8,10,11,17,13
19026,3,13,15,19,20,27,14
19025,15,16,21,27,30,33,4
19024,1,8,23,25,28,29,10
19023,1,10,14,15,18,31,13
19022,3,7,11,21,30,33,7
19021,2,5,7,8,20,27,4
19020,2,12,13,23,27,28,12
19019,3,11,17,18,24,25,6
19018,4,11,18,19,26,32,4
19017,4,5,24,28,30,33,9
19016,5,7,9,11,19,25,5
19015,11,15,16,20,24,31,4
19014,1,2,3,14,19,33,3
19013,5,7,14,16,18,21,1
19012,7,10,21,23,31,33,14
19011,10,13,19,21,24,30,7
19010,2,4,5,8,11,30,2
19009,1,7,10,22,31,32,15
19008,2,6,9,13,28,32,12
19007,6,10,14,15,19,23,15
19006,1,5,10,19,26,28,12
19005,21,22,26,28,31,32,7
19004,8,12,16,19,26,32,3
19003,13,17,20,21,22,27,1
19002,4,5,6,8,9,18,11
19001,6,10,13,15,32,33,15
18153,1,7,17,23,25,31,11
18152,4,14,16,23,28,29,3
18151,5,15,19,25,26,29,15
18150,6,8,15,19,20,31,5
18149,1,7,8,10,12,24,1
18148,3,6,18,19,21,31,1
18147,3,15,17,23,27,30,11
18146,2,10,11,17,18,29,16
18145,3,9,13,22,23,25,6
18144,8,13,17,18,20,27,13
18143,4,6,15,28,32,33,14
18142,5,8,10,11,27,28,11
18141,11,14,16,18,24,33,4
18140,1,15,20,22,25,28,14
18139,11,18,20,23,31,32,15
18138,1,10,25,27,30,32,9
18137,3,5,11,15,20,23,9
18136,10,12,15,25,26,27,14
18135,1,3,6,10,11,29,16
18134,3,16,18,31,32,33,12
18133,2,4,11,12,18,32,13
18132,1,2,9,10,15,22,6
18131,21,22,24,31,32,33,1
18130,5,12,17,18,24,28,12
18129,2,4,6,16,18,19,16
18128,6,7,8,19,22,23,2
18127,2,5,6,7,11,15,12
18126,1,6,8,9,14,22,5
18125,3,10,11,14,15,32,2
18124,9,13,14,19,22,25,2
18123,13,21,24,27,31,32,1
18122,5,7,20,22,30,32,10
18121,6,8,14,19,23,25,11
18120,3,4,18,26,27,33,1
18119,3,13,14,16,25,27,12
18118,8,12,21,22,27,31,9
18117,8,11,15,17,23,25,5
18116,5,14,17,22,23,28,15
18115,1,13,19,24,26,29,11
18114,1,7,15,16,20,27,14
18113,1,6,9,16,25,26,9
18112,5,8,18,25,26,31,4
18111,1,7,14,24,25,28,8
18110,11,13,16,21,22,23,2
18109,10,11,18,23,31,33,15
18108,5,13,18,21,26,30,2
18107,1,2,5,12,20,22,1
18106,4,18,19,24,25,26,10
18105,4,5,13,18,19,25,1
18104,2,3,6,19,25,29,1
18103,2,9,15,22,23,24,16
18102,2,6,11,19,21,28,5
18101,1,3,14,26,29,33,9
18100,2,11,14,15,29,33,2
18099,3,7,8,14,25,32,6
18098,6,10,11,20,29,32,13
18097,1,2,17,20,25,28,13
18096,1,5,9,20,28,32,12
18095,10,11,12,21,26,33,9
18094,4,7,16,20,24,30,5
18093,4,18,20,21,29,33,7
18092,6,10,16,19,24,33,16
18091,6,11,13,17,25,32,7
18090,1,2,4,10,14,23,7
18089,6,9,12,14,18,27,14
18088,3,5,12,29,30,32,14
18087,1,5,10,16,18,31,3
18086,2,7,17,21,23,26,16
18085,4,10,25,26,30,33,6
18084,5,6,8,12,22,24,3
18083,4,9,18,21,32,33,3
18082,6,12,14,20,22,24,9
18081,1,2,12,16,20,26,3
18080,4,7,13,20,29,33,3
18079,14,15,17,22,24,29,13
18078,3,10,14,17,18,30,12
18077,2,5,9,15,20,24,10
18076,3,7,8,15,29,30,13
18075,7,9,12,13,22,24,11
18074,9,11,14,20,27,30,9
18073,2,9,14,15,16,23,10
18072,11,16,19,22,25,30,8
18071,2,5,6,13,16,19,3
18070,4,9,15,16,19,27,10
18069,6,13,17,19,23,31,12
18068,8,10,17,20,27,30,1
18067,1,4,9,12,15,18,5
18066,9,16,17,19,22,26,10
18065,1,4,6,14,28,33,1
18064,2,5,10,11,17,21,5
18063,5,6,10,16,20,25,12
18062,2,18,19,24,25,33,11
18061,9,10,11,12,18,23,7
18060,4,8,13,25,30,31,10
18059,4,6,8,13,22,32,11
18058,7,12,13,16,26,31,7
18057,5,15,17,19,20,30,13
18056,1,3,6,20,21,26,1
18055,7,9,10,12,22,26,7
18054,4,6,18,22,25,33,16
18053,1,4,10,11,14,27,6
18052,3,5,6,9,15,32,14
18051,5,7,20,23,27,31,4
18050,1,2,4,10,18,19,7
18049,1,3,4,11,19,23,2
18048,1,12,20,25,30,31,2
18047,6,7,12,16,22,25,7
18046,10,13,14,18,20,31,3
18045,3,4,6,25,26,30,1
18044,5,9,12,17,27,30,6
18043,1,4,6,8,21,24,7
18042,6,10,21,28,29,31,12
18041,7,8,20,23,24,32,13
18040,1,3,8,13,18,23,16
18039,8,12,18,19,23,32,3
18038,15,23,24,25,28,29,9
18037,1,6,7,8,27,30,10
18036,8,17,24,26,28,33,4
18035,7,10,11,17,23,28,15
18034,1,5,11,22,23,26,15
18033,4,19,20,22,28,33,6
18032,21,22,23,24,25,32,6
18031,2,16,18,19,27,30,14
18030,13,14,20,21,25,33,7
18029,1,2,9,14,22,25,5
18028,3,8,11,14,18,23,16
18027,2,7,9,14,18,28,5
18026,4,7,12,14,26,32,4
18025,4,13,16,19,21,25,14
18024,11,19,22,26,31,32,2
18023,12,15,16,21,26,29,16
18022,7,14,19,21,22,23,3
18021,3,4,6,11,23,28,14
18020,6,9,10,14,28,30,5
18019,3,11,12,16,21,23,9
18018,2,12,13,18,25,27,7
18017,3,6,11,26,30,32,12
18016,1,11,12,18,25,27,16
18015,11,15,20,21,26,33,15
18014,9,12,20,24,28,31,7
18013,6,8,13,15,22,33,6
18012,11,12,13,19,26,28,12
18011,3,10,21,23,27,33,11
18010,1,8,17,20,21,22,3
18009,5,10,17,23,26,32,7
18008,5,9,10,12,17,19,13
18007,13,14,20,25,27,31,12
18006,2,7,8,9,17,29,11
18005,2,20,21,28,31,33,6
18004,14,18,19,26,30,31,11
18003,1,14,16,17,20,31,4
18002,7,18,24,29,31,33,16
18001,1,8,11,26,28,31,4
17154,5,9,13,15,18,26,5
17153,7,11,12,13,18,19,16
17152,6,10,23,25,26,29,5
17151,2,5,7,9,11,27,16
17150,6,14,19,20,21,23,8
17149,5,8,15,20,27,30,13
17148,4,7,11,14,29,32,12
17147,3,7,20,21,25,31,14
17146,1,19,25,26,27,33,10
17145,2,6,12,17,25,28,12
17144,3,14,16,20,31,32,9
17143,4,6,9,14,20,29,14
17142,8,13,14,18,23,33,6
17141,1,6,7,11,13,15,5
17140,21,22,25,28,29,30,8
17139,2,14,20,24,28,32,16
17138,1,17,24,28,32,33,2
17137,5,10,20,23,26,31,3
17136,3,7,10,18,21,24,12
17135,1,6,7,14,18,26,16
17134,4,5,11,14,28,32,4
17133,6,15,17,18,23,30,11
17132,2,3,5,9,13,28,11
17131,1,7,10,11,26,27,11
17130,5,13,14,23,25,31,2
17129,5,6,9,14,21,33,2
17128,2,6,13,22,29,31,8
17127,14,15,21,24,27,32,12
17126,1,16,17,21,27,30,16
17125,1,14,23,25,29,30,3
17124,2,6,11,26,28,29,3
17123,4,5,6,11,21,31,10
17122,11,20,21,22,24,27,15
17121,11,18,19,22,24,32,7
17120,8,10,15,19,23,28,16
17119,9,16,21,25,26,31,14
17118,8,9,15,22,30,33,16
17117,1,2,8,11,14,21,9
17116,2,14,20,22,30,32,2
17115,4,10,11,25,30,31,1
17114,6,12,13,15,18,26,13
17113,4,6,16,27,29,33,5
17112,3,10,14,16,22,23,11
17111,5,10,17,19,29,32,12
17110,1,3,12,15,19,23,14
17109,8,14,16,18,21,23,16
17108,7,12,14,15,17,20,1
17107,8,9,15,17,30,32,6
17106,12,15,20,25,27,31,2
17105,3,6,7,12,25,26,7
17104,1,14,15,20,23,30,14
17103,1,21,23,25,31,33,1
17102,4,8,10,14,18,20,11
17101,1,4,11,28,31,32,16
17100,4,7,8,18,23,24,2
17099,2,5,6,16,28,29,4
17098,4,19,22,27,30,33,1
17097,5,10,18,19,30,31,3
17096,2,6,11,12,19,29,6
17095,9,10,12,19,22,29,16
17094,8,11,13,19,28,31,6
17093,7,8,9,15,22,27,12
17092,10,18,19,29,32,33,9
17091,5,7,10,23,28,29,3
17090,1,7,10,16,22,33,9
17089,11,12,13,16,23,25,12
17088,7,9,18,22,23,29,6
17087,3,6,13,14,19,28,6
17086,3,5,6,13,20,22,7
17085,1,5,6,16,25,30,9
17084,1,5,11,20,22,24,2
17083,3,8,14,20,24,26,12
17082,14,18,21,25,28,29,10
17081,3,5,14,25,26,30,5
17080,1,12,16,20,22,24,8
17079,3,7,14,23,25,27,8
17078,5,7,18,19,22,24,16
17077,1,2,4,15,17,22,14
17076,1,4,8,9,14,15,13
17075,1,3,6,19,21,29,7
17074,2,6,16,23,30,31,2
17073,3,6,16,23,26,30,14
17072,6,11,14,23,26,30,2
17071,2,3,6,14,31,32,3
17070,1,6,14,22,25,26,12
17069,2,11,12,23,29,31,5
17068,2,6,10,22,30,31,15
17067,1,3,4,10,18,29,4
17066,1,4,6,17,19,26,3
17065,2,5,8,10,12,21,7
17064,2,10,16,22,24,28,15
17063,12,16,20,22,25,31,4
17062,1,7,22,24,26,31,10
17061,6,7,12,20,26,27,11
17060,5,10,13,24,26,31,4
17059,4,8,9,15,19,25,9
17058,1,9,13,22,28,32,11
17057,18,20,22,23,30,31,16
17056,13,14,18,19,21,28,6
17055,7,12,13,20,24,31,5
17054,2,3,9,23,28,33,8
17053,4,9,11,15,29,31,6
17052,7,8,18,24,29,31,7
17051,2,5,9,15,24,25,11
17050,10,12,20,24,27,29,7
17049,1,8,14,15,20,29,10
17048,5,8,9,14,15,19,7
17047,2,5,8,10,32,33,2
17046,4,13,14,23,26,32,10
17045,5,7,16,20,21,25,5
17044,8,16,19,21,31,32,6
17043,8,13,16,23,27,31,8
17042,1,2,4,7,10,23,4
17041,4,10,13,15,22,27,4
17040,15,19,23,28,29,33,4
17039,2,4,12,14,17,24,15
17038,1,4,8,13,24,27,5
17037,11,15,20,22,25,30,5
17036,1,2,5,10,24,27,15
17035,1,6,14,24,28,32,12
17034,4,7,8,19,32,33,13
17033,5,7,15,20,23,30,15
17032,5,8,15,24,27,31,11
17031,6,10,16,26,27,29,3
17030,1,7,9,20,23,30,2
17029,2,15,21,23,25,30,10
17028,7,8,12,13,22,30,9
17027,2,4,11,14,27,30,5
17026,3,10,12,19,27,30,8
17025,2,15,16,17,22,32,7
17024,9,21,25,26,29,31,13
17023,1,3,4,11,18,22,14
17022,2,6,15,16,18,32,15
17021,2,5,10,22,32,33,9
17020,4,8,10,12,31,33,10
17019,4,6,8,12,23,25,8
17018,1,2,3,17,25,31,9
17017,3,7,8,10,22,23,12
17016,5,8,16,22,27,29,2
17015,1,8,9,14,17,32,1
17014,6,8,18,20,23,31,13
17013,8,11,28,29,31,33,6
17012,10,11,14,15,16,24,7
17011,10,11,12,23,26,29,16
17010,5,8,19,25,28,30,7
17009,2,6,8,9,15,29,14
17008,7,13,15,27,28,29,13
17007,2,4,5,24,26,33,15
17006,2,4,8,26,29,33,8
17005,6,11,12,22,23,30,5
17004,5,13,17,26,27,30,7
17003,1,4,8,15,27,32,16
17002,15,19,23,24,25,32,3
17001,9,11,14,20,25,26,15
16153,7,9,16,24,25,29,6
16152,2,8,9,16,20,22,7
16151,6,11,16,20,22,33,7
16150,2,4,5,9,13,21,5
16149,3,20,23,26,32,33,7
16148,1,2,11,20,26,30,14
16147,4,14,18,28,31,32,12
16146,3,7,15,16,17,23,10
16145,1,3,7,12,19,20,6
16144,4,10,12,27,32,33,5
16143,6,9,23,24,25,33,13
16142,1,10,17,21,23,30,12
16141,4,13,15,17,21,24,15
16140,1,2,5,17,26,32,10
16139,1,6,19,26,28,30,3
16138,7,16,20,24,25,30,7
16137,1,6,9,10,15,32,14
16136,2,7,10,20,27,29,3
16135,2,8,10,18,20,33,12
16134,11,12,13,14,18,33,13
16133,15,16,21,22,27,33,15
16132,5,8,13,19,27,28,7
16131,4,10,18,19,25,27,2
16130,3,17,21,23,27,28,1
16129,5,6,8,21,31,33,14
16128,4,9,11,17,26,27,13
16127,7,12,17,26,29,31,16
16126,2,6,12,17,18,19,10
16125,1,6,8,20,27,30,3
16124,9,15,21,24,27,32,10
16123,7,9,12,14,20,27,16
16122,15,22,23,24,28,29,8
16121,2,3,10,23,25,28,9
16120,2,5,6,21,25,28,9
16119,9,19,21,30,31,32,4
16118,9,14,22,23,31,33,14
16117,3,10,14,17,28,33,2
16116,7,18,20,23,27,31,13
16115,6,8,20,22,26,27,9
16114,5,16,20,22,27,29,9
16113,1,11,16,17,20,26,14
16112,6,12,14,15,18,25,12
16111,2,4,7,14,15,32,4
16110,5,7,28,31,32,33,8
16109,9,11,15,16,27,33,5
16108,2,3,7,8,19,26,16
16107,6,11,18,26,27,32,1
16106,4,5,13,22,25,30,4
16105,8,10,19,27,28,31,16
16104,5,9,11,18,30,31,4
16103,1,5,13,19,24,27,11
16102,5,8,10,14,17,30,13
16101,1,3,19,24,32,33,1
16100,3,10,22,23,27,29,4
16099,1,11,21,23,27,33,6
16098,2,8,25,29,31,32,6
16097,6,13,25,26,28,31,1
16096,6,13,14,21,22,24,16
16095,1,5,9,12,18,32,12
16094,6,7,10,12,18,31,10
16093,6,9,15,17,25,27,9
16092,2,13,15,23,24,29,6
16091,4,8,14,22,23,28,7
16090,2,13,17,20,21,26,7
16089,1,3,14,30,31,32,8
16088,3,14,16,18,25,33,15
16087,2,3,10,11,14,21,12
16086,9,10,11,12,15,32,5
16085,1,12,19,20,21,25,16
16084,2,4,12,18,24,26,5
16083,9,16,17,24,30,31,4
16082,6,12,14,15,17,20,9
16081,2,6,15,25,30,32,7
16080,1,16,17,24,25,32,14
16079,1,3,10,12,24,28,2
16078,2,4,8,23,26,29,2
16077,1,9,17,19,20,29,10
16076,7,8,13,22,30,32,1
16075,1,3,6,16,29,32,7
16074,6,10,11,12,20,25,12
16073,9,11,12,15,16,20,13
16072,5,16,19,22,24,25,2
16071,19,21,26,28,29,32,1
16070,3,6,11,18,23,29,1
16069,8,10,11,20,21,27,11
16068,8,19,23,28,31,32,1
16067,9,13,18,20,27,31,4
16066,3,7,13,18,19,20,5
16065,13,16,22,25,26,27,14
16064,3,12,14,17,19,26,3
16063,16,17,18,23,28,32,7
16062,12,13,15,18,19,21,9
16061,5,6,8,18,20,32,8
16060,4,5,22,26,29,32,8
16059,4,11,12,20,25,28,15
16058,3,5,18,20,24,32,11
16057,7,12,19,22,23,26,11
16056,3,4,8,11,16,18,14
16055,5,6,10,16,22,26,11
16054,6,11,16,19,28,32,4
16053,2,8,10,12,29,31,1
16052,1,6,13,19,24,28,16
16051,1,2,4,9,15,33,12
16050,9,12,24,28,29,30,2
16049,6,8,13,14,22,27,10
16048,3,8,13,14,15,30,4
16047,2,5,8,15,17,22,16
16046,7,20,25,26,27,30,14
16045,4,9,12,17,30,32,3
16044,1,3,10,12,18,30,1
16043,5,14,20,26,30,33,12
16042,7,14,17,23,26,31,9
16041,12,17,18,21,22,24,4
16040,3,13,19,20,23,26,3
16039,1,3,7,18,19,27,16
16038,3,12,13,22,28,29,3
16037,6,15,26,31,32,33,16
16036,3,4,7,9,20,22,3
16035,4,13,19,20,26,29,11
16034,3,15,21,22,23,28,15
16033,6,17,18,20,27,29,15
16032,8,12,14,15,21,27,15
16031,3,8,10,19,26,33,3
16030,10,14,19,22,25,29,12
16029,12,15,18,20,21,27,15
16028,6,8,12,21,25,29,1
16027,11,13,15,17,19,31,5
16026,4,9,12,28,30,33,1
16025,4,11,12,17,24,30,12
16024,2,5,7,14,18,31,13
16023,3,6,10,19,25,29,7
16022,4,9,19,22,23,30,7
16021,9,11,13,22,24,26,5
16020,1,2,10,12,22,24,10
16019,6,13,16,17,23,30,10
16018,12,13,14,17,21,25,4
16017,5,6,8,20,22,30,5
16016,1,20,22,24,25,26,16
16015,1,2,14,22,25,26,7
16014,2,8,10,18,20,27,7
16013,7,12,21,22,26,31,1
16012,7,12,14,16,27,32,15
16011,3,8,10,15,22,29,12
16010,2,4,12,14,19,25,6
16009,10,14,24,25,27,32,4
16008,2,15,24,29,32,33,2
16007,5,12,14,20,27,29,6
16006,13,16,18,20,28,31,12
16005,11,14,18,20,31,33,14
16004,8,10,17,22,25,33,12
16003,1,10,14,23,26,28,1
16002,9,14,17,20,24,30,16
16001,6,13,16,18,20,22,13
15154,7,9,11,15,18,25,7
15153,8,11,15,22,27,29,3
15152,11,18,19,21,29,32,12
15151,5,6,8,23,31,32,11
15150,1,3,8,11,29,31,13
15149,9,10,20,21,22,33,9
15148,9,13,14,22,26,27,7
15147,8,9,16,23,24,30,5
15146,16,17,21,28,30,32,15
15145,7,8,15,19,20,24,13
15144,1,4,7,15,28,32,16
15143,13,15,19,20,21,32,4
15142,13,17,19,20,22,25,11
15141,3,8,19,25,27,28,2
15140,6,20,28,29,30,31,12
15139,1,10,13,18,25,27,9
15138,1,2,8,16,19,24,11
15137,14,22,23,27,28,31,12
15136,2,5,12,23,28,29,1
15135,1,12,14,18,26,32,7
15134,2,5,14,19,27,31,4
15133,2,3,13,20,22,24,15
15132,3,5,11,28,30,33,1
15131,10,12,13,19,22,26,3
15130,6,14,15,16,17,22,10
15129,5,8,11,16,18,27,4
15128,1,3,8,11,22,28,6
15127,7,10,19,22,27,33,6
15126,10,11,15,20,23,29,12
15125,5,13,22,27,30,33,10
15124,2,3,5,12,18,27,1
15123,5,8,9,12,22,28,7
15122,5,7,11,16,22,25,7
15121,1,3,20,21,28,29,12
15120,16,21,24,26,27,29,16
15119,2,8,10,18,23,31,8
15118,1,4,11,21,23,31,12
15117,4,11,12,18,26,32,12
15116,4,6,15,23,26,28,11
15115,1,7,8,14,24,32,3
15114,4,7,9,13,21,26,1
15113,1,5,7,8,19,27,12
15112,1,3,10,19,20,27,11
15111,8,14,16,18,20,30,12
15110,5,7,16,17,22,23,4
15109,1,8,9,16,32,33,13
15108,2,12,19,22,24,27,15
15107,7,14,16,18,21,25,8
15106,1,3,4,23,31,32,13
15105,9,10,16,19,20,26,12
15104,9,18,21,23,25,26,1
15103,6,8,13,26,30,32,14
15102,7,9,12,14,21,23,6
15101,8,16,22,24,28,29,5
15100,2,3,11,17,19,21,8
15099,6,7,10,11,14,22,9
15098,6,9,13,26,27,33,1
15097,9,12,14,20,26,27,4
15096,6,16,17,23,24,31,7
15095,4,15,21,28,30,31,4
15094,1,4,6,13,16,17,10
15093,1,3,13,21,25,31,8
15092,9,15,19,21,26,27,1
15091,5,7,17,19,22,31,11
15090,10,12,14,22,25,33,15
15089,12,14,19,27,28,29,1
15088,2,12,20,24,29,31,9
15087,9,15,16,19,20,28,11
15086,5,6,8,16,18,22,12
15085,2,8,25,27,28,29,5
15084,15,18,20,22,28,29,15
15083,6,7,16,18,29,32,5
15082,2,8,9,14,28,30,7
15081,13,20,22,26,28,31,13
15080,14,17,25,27,28,30,2
15079,9,14,15,20,26,32,11
15078,3,7,20,22,26,29,2
15077,1,6,8,10,13,27,16
15076,1,9,10,19,23,27,9
15075,6,11,13,19,21,32,4
15074,4,7,21,25,26,29,8
15073,1,2,17,22,26,27,4
15072,1,3,5,20,21,31,5
15071,8,18,20,28,29,31,8
15070,1,7,13,19,21,29,15
15069,1,13,17,18,23,30,15
15068,6,15,18,21,26,27,10
15067,2,5,8,24,25,31,14
15066,5,8,11,17,24,28,16
15065,8,10,14,19,26,29,12
15064,11,12,14,17,23,27,1
15063,1,7,9,16,22,32,12
15062,9,14,15,18,21,26,16
15061,6,18,22,26,32,33,4
15060,1,3,18,27,31,32,13
15059,2,6,9,16,25,32,14
15058,2,9,10,18,19,20,15
15057,9,20,24,25,26,32,4
15056,1,7,8,16,18,20,14
15055,1,10,15,18,19,28,2
15054,1,2,7,10,22,26,7
15053,3,7,17,22,32,33,10
15052,2,4,11,16,25,26,12
15051,4,10,24,26,28,32,9
15050,3,9,12,16,17,31,4
15049,7,12,14,17,20,23,5
15048,13,16,17,22,25,27,10
15047,2,3,20,24,26,27,9
15046,5,7,10,14,23,31,1
15045,1,5,13,22,30,31,7
15044,2,3,4,13,14,16,2
15043,11,12,15,24,26,27,15
15042,9,10,19,21,23,32,8
15041,4,9,11,17,21,25,6
15040,13,16,18,27,30,32,16
15039,1,13,15,26,29,30,12
15038,5,6,11,12,14,33,14
15037,5,7,12,18,28,31,3
15036,4,6,16,17,26,33,3
15035,1,8,9,22,24,33,3
15034,12,13,17,18,20,27,13
15033,3,6,21,29,31,32,5
15032,11,14,16,18,29,32,16
15031,1,5,7,22,26,32,11
15030,8,11,14,15,16,26,7
15029,7,14,15,19,21,28,7
15028,4,7,10,26,27,28,14
15027,5,7,9,16,26,29,7
15026,2,13,17,21,22,33,13
15025,10,11,12,15,27,32,14
15024,9,11,16,18,23,24,10
15023,8,9,10,13,29,30,1
15022,4,7,10,16,23,25,10
15021,14,15,16,17,27,28,8
15020,1,4,7,19,22,23,4
15019,2,6,11,19,25,26,4
15018,6,9,12,14,28,29,9
15017,13,18,20,25,27,33,12
15016,2,6,10,15,17,31,13
15015,1,7,20,24,25,33,4
15014,2,12,16,19,27,30,11
15013,8,9,24,25,26,29,1
15012,3,5,22,23,29,31,6
15011,4,14,15,17,18,20,15
15010,1,2,3,8,21,31,9
15009,4,7,14,17,21,25,14
15008,4,7,10,16,20,22,3
15007,1,7,9,17,20,33,8
15006,1,10,11,29,31,33,13
15005,7,10,16,17,18,32,15
15004,2,14,15,16,23,24,10
15003,10,15,20,23,24,31,15
15002,7,15,16,25,28,32,5
15001,1,7,9,16,20,23,6
14152,8,13,15,20,21,25,12
14151,4,5,8,11,21,27,8
14150,3,8,14,22,24,32,9
14149,7,9,10,15,19,33,1
14148,1,2,5,12,15,16,13
14147,6,7,22,26,31,32,10
14146,1,6,13,20,29,32,1
14145,10,12,13,23,26,29,11
14144,3,5,6,9,10,27,14
14143,3,12,18,20,25,26,16
14142,6,21,22,23,25,28,13
14141,8,9,11,16,21,24,10
14140,6,10,11,14,17,33,6
14139,1,14,15,20,25,29,11
14138,4,6,13,29,31,33,13
14137,3,6,9,11,25,29,9
14136,3,16,19,27,31,32,10
14135,2,4,11,13,25,33,1
14134,5,16,22,23,26,28,2
14133,13,14,16,23,30,31,13
14132,5,6,14,15,18,33,8
14131,5,17,21,22,28,32,14
